batter,n_bbe,hh_rate,avg_la,career_hh_rate,career_la,hh_delta_2025,la_delta_2025
455117,31,0.2903225806451613,13.64516129032258,0.3456666666666667,,-0.05534408602150537,
456781,34,0.20588235294117646,12.882352941176471,0.3953333333333333,,-0.18945098039215685,
457705,66,0.48484848484848486,10.075757575757576,0.41333333333333333,13.68,0.07151515151515153,-3.6042424242424236
457759,32,0.1875,10.96875,0.3413333333333333,,-0.15383333333333332,
467793,86,0.36046511627906974,13.581395348837209,0.3803333333333333,13.78,-0.01986821705426356,-0.1986046511627908
493329,27,0.18518518518518517,24.962962962962962,0.355,,-0.1698148148148148,
500743,33,0.3333333333333333,6.454545454545454,0.30333333333333334,7.3,0.02999999999999997,-0.8454545454545457
502054,64,0.390625,6.21875,0.4633333333333334,6.46,-0.07270833333333337,-0.24124999999999996
502671,93,0.3978494623655914,11.731182795698924,0.48033333333333333,15.58,-0.08248387096774196,-3.848817204301076
514888,93,0.3655913978494624,14.473118279569892,0.3116666666666667,15.68,0.05392473118279567,-1.2068817204301077
516782,41,0.2926829268292683,12.439024390243903,0.4093333333333333,5.75,-0.11665040650406505,6.689024390243903
518595,23,0.43478260869565216,10.043478260869565,0.4056666666666666,9.62,0.029115942028985542,0.4234782608695653
518692,57,0.43859649122807015,18.333333333333332,0.4323333333333333,15.02,0.006263157894736859,3.3133333333333326
518792,39,0.28205128205128205,15.64102564102564,0.376,,-0.09394871794871795,
521692,91,0.4835164835164835,20.13186813186813,0.45166666666666666,20.45,0.03184981684981686,-0.3181318681318679
527038,83,0.26506024096385544,14.325301204819278,0.29,,-0.024939759036144538,
542303,69,0.5072463768115942,15.521739130434783,0.49,13.57,0.017246376811594244,1.9517391304347829
542932,31,0.3870967741935484,-4.096774193548387,0.32899999999999996,,0.05809677419354842,
542963,6,0.16666666666666666,26.166666666666668,,,,
543309,49,0.3877551020408163,20.816326530612244,0.41600000000000004,17.82,-0.028244897959183723,2.9963265306122437
543760,87,0.3333333333333333,16.71264367816092,0.35733333333333334,18.16,-0.02400000000000002,-1.4473563218390808
543807,62,0.5,19.548387096774192,0.41633333333333333,14.58,0.08366666666666667,4.968387096774192
543877,32,0.3125,15.8125,0.32266666666666666,13.97,-0.010166666666666657,1.8424999999999994
545341,29,0.5517241379310345,10.931034482758621,0.4746666666666667,10.02,0.0770574712643678,0.9110344827586214
545361,72,0.4583333333333333,20.40277777777778,0.4756666666666666,21.73,-0.01733333333333331,-1.3272222222222219
547180,86,0.4883720930232558,14.94186046511628,0.475,12.92,0.013372093023255816,2.02186046511628
553869,45,0.4,13.28888888888889,0.37199999999999994,12.24,0.02800000000000008,1.0488888888888894
553882,7,0.14285714285714285,12.428571428571429,0.2585,,-0.11564285714285716,
553993,72,0.5972222222222222,24.09722222222222,0.44333333333333336,18.9,0.15388888888888885,5.197222222222223
570482,64,0.328125,9.90625,0.3203333333333333,,0.007791666666666697,
571448,96,0.3020833333333333,16.239583333333332,0.341,17.71,-0.03891666666666671,-1.4704166666666687
571657,63,0.30158730158730157,16.126984126984127,0.3263333333333333,12.53,-0.024746031746031738,3.596984126984127
571771,39,0.41025641025641024,13.564102564102564,0.376,,0.03425641025641024,
571970,55,0.43636363636363634,15.454545454545455,0.4716666666666666,21.53,-0.03530303030303028,-6.075454545454546
572191,43,0.4186046511627907,15.232558139534884,0.4033333333333334,,0.015271317829457343,
572233,71,0.4788732394366197,12.901408450704226,0.44833333333333336,15.22,0.03053990610328633,-2.3185915492957747
573262,69,0.42028985507246375,17.81159420289855,0.42533333333333334,16.8,-0.005043478260869594,1.01159420289855
575929,84,0.40476190476190477,4.5,0.4756666666666666,9.3,-0.07090476190476186,-4.800000000000001
578428,62,0.2903225806451613,-6.354838709677419,0.2955,,-0.005177419354838675,
592178,26,0.34615384615384615,12.961538461538462,0.321,,0.025153846153846138,
592192,21,0.38095238095238093,14.619047619047619,0.357,,0.023952380952380947,
592206,88,0.42045454545454547,17.681818181818183,0.3863333333333333,14.29,0.03412121212121216,3.3918181818181843
592450,89,0.5730337078651685,15.224719101123595,0.6113333333333333,15.77,-0.03829962546816479,-0.5452808988764044
592518,92,0.5869565217391305,12.641304347826088,0.4873333333333333,13.16,0.0996231884057972,-0.5186956521739123
592626,53,0.41509433962264153,14.49056603773585,0.4773333333333333,14.23,-0.06223899371069175,0.26056603773584897
592663,67,0.44776119402985076,10.238805970149254,0.4513333333333333,11.12,-0.0035721393034825466,-0.8811940298507448
592669,51,0.3333333333333333,17.03921568627451,0.3796666666666667,,-0.04633333333333339,
592696,6,0.6666666666666666,5.833333333333333,0.3895,,0.2771666666666666,
592885,77,0.4935064935064935,-0.8701298701298701,0.4773333333333333,4.27,0.016173160173160228,-5.140129870129869
593428,77,0.38961038961038963,14.441558441558442,0.35666666666666663,10.03,0.032943722943723,4.411558441558443
593871,66,0.5606060606060606,13.166666666666666,0.412,16.55,0.14860606060606057,-3.3833333333333346
595777,11,0.18181818181818182,4.0,0.38833333333333336,,-0.20651515151515154,
595879,59,0.3220338983050847,5.8474576271186445,0.39866666666666667,9.17,-0.07663276836158195,-3.3225423728813555
595978,14,0.35714285714285715,28.357142857142858,0.2913333333333334,,0.06580952380952376,
596019,103,0.42718446601941745,12.339805825242719,0.45233333333333325,13.8,-0.0251488673139158,-1.460194174757282
596103,15,0.6666666666666666,6.333333333333333,0.439,,0.22766666666666663,
596115,86,0.5232558139534884,13.627906976744185,0.38766666666666666,17.63,0.13558914728682175,-4.002093023255814
596142,19,0.5789473684210527,21.526315789473685,0.4886666666666667,,0.09028070175438596,
596146,76,0.4868421052631579,12.618421052631579,0.43133333333333335,,0.05550877192982456,
600869,53,0.2830188679245283,11.39622641509434,0.3306666666666667,13.2,-0.047647798742138425,-1.8037735849056595
602104,58,0.3793103448275862,10.413793103448276,0.39466666666666667,9.05,-0.015356321839080478,1.363793103448275
605113,4,0.25,31.25,0.2725,,-0.02250000000000002,
605131,24,0.16666666666666666,0.4166666666666667,0.25733333333333336,,-0.0906666666666667,
605137,73,0.3698630136986301,9.73972602739726,0.43366666666666664,8.35,-0.06380365296803653,1.389726027397261
605141,99,0.30303030303030304,16.646464646464647,0.4126666666666667,18.67,-0.10963636363636364,-2.0235353535353546
605170,28,0.32142857142857145,14.5,0.42833333333333334,,-0.10690476190476189,
605204,6,0.3333333333333333,-0.3333333333333333,0.4445,,-0.11116666666666669,
605361,49,0.30612244897959184,13.244897959183673,0.36933333333333335,,-0.0632108843537415,
606115,22,0.2727272727272727,-0.9545454545454546,0.37566666666666665,,-0.10293939393939394,
606192,89,0.38202247191011235,14.898876404494382,0.4743333333333334,11.67,-0.09231086142322104,3.2288764044943825
606466,22,0.5454545454545454,13.363636363636363,0.4786666666666667,7.94,0.06678787878787873,5.423636363636363
606992,13,0.15384615384615385,2.3076923076923075,0.3263333333333333,,-0.17248717948717945,
607043,92,0.5869565217391305,8.934782608695652,0.485,8.79,0.1019565217391305,0.14478260869565318
607208,86,0.37209302325581395,9.534883720930232,0.41666666666666663,10.82,-0.04457364341085268,-1.2851162790697686
607680,28,0.21428571428571427,13.857142857142858,0.2946666666666667,,-0.08038095238095241,
607732,30,0.36666666666666664,13.433333333333334,0.3363333333333333,,0.030333333333333323,
608070,96,0.3229166666666667,22.166666666666668,0.3903333333333333,20.2,-0.06741666666666662,1.9666666666666686
608324,99,0.48484848484848486,18.737373737373737,0.4103333333333333,20.2,0.07451515151515153,-1.4626262626262623
608348,42,0.6190476190476191,19.357142857142858,0.37566666666666665,18.11,0.24338095238095242,1.2471428571428582
608369,62,0.4838709677419355,11.483870967741936,0.525,14.98,-0.041129032258064524,-3.4961290322580645
608385,45,0.4222222222222222,19.6,0.3813333333333333,,0.04088888888888892,
608671,16,0.1875,4.875,0.2816666666666667,,-0.09416666666666668,
608701,24,0.625,20.875,0.43266666666666675,,0.19233333333333325,
609280,69,0.36231884057971014,9.014492753623188,0.37133333333333335,,-0.009014492753623204,
620443,47,0.574468085106383,6.23404255319149,0.43699999999999994,,0.1374680851063831,
